pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
112.5,-115.5,-90.0,top,C1,,,CP_Radial_D10.0mm_P5.00mm,1000uF,tht
107.0,-90.0,90.0,top,C2,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
116.0,-90.5,90.0,top,C3,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
164.338,-102.489,0.0,top,GND,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
165.227,-77.216,0.0,top,GNDMIC1,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
123.84,-47.45,180.0,top,L+,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
123.58275,-54.4945,180.0,top,L-,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
156.13075,-47.45,0.0,top,R+,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
155.9215,-54.562,0.0,top,R-,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
116.0,-104.58,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
107.0,-104.58,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
165.1,-82.042,0.0,top,SCK,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
164.338,-113.739,0.0,top,SCK,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
165.0,-86.5,0.0,top,SD,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
164.338,-109.989,0.0,top,SDA,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
139.68954,-100.283437,0.0,top,U1,,,ESP32_30pin,~,tht
140.92,-55.84,0.0,top,U2,,,pam8403,pam8403,tht
164.465,-106.299,0.0,top,VDD,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
165.227,-96.139,0.0,top,VDD,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
165.1,-90.95,0.0,top,WS,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
